SalePrice,Lot.Area,Overall.Qual,Overall.Cond,Year.Built,X1st.Flr.SF,X2nd.Flr.SF,Full.Bath,Half.Bath,Bedroom.AbvGr,TotRms.AbvGrd,Mo.Sold,Yr.Sold
204500,9215,7,5,2009,1218,0,2,0,2,4,4,2010
215200,8640,7,5,2009,764,783,2,1,3,7,6,2010
262500,9000,8,5,2008,1566,0,2,0,3,7,4,2010
254900,12552,7,5,2004,991,956,2,1,3,8,5,2010
271500,10440,6,5,2005,1468,0,2,0,2,6,5,2010
233000,10142,7,5,2004,956,1128,2,1,4,8,1,2010
181000,11920,7,5,2004,831,828,2,1,3,8,4,2010
205000,8880,7,5,1994,1222,888,2,1,3,8,5,2010
143000,8012,6,5,1980,923,0,2,0,2,5,5,2010
189000,11218,6,5,1992,1055,790,2,1,3,8,5,2010
99500,7892,6,5,1979,918,0,2,0,2,5,4,2010
125000,7175,6,5,1984,752,0,1,0,2,4,2,2010
194500,9453,7,7,1993,1014,730,2,1,3,7,2,2010
152000,9672,6,5,1984,1097,0,2,0,3,6,5,2010
171000,8400,6,6,1980,888,676,2,1,3,7,4,2010
67500,9800,5,5,1920,1012,0,1,0,2,5,4,2010
112000,8930,6,5,1978,1318,584,2,0,4,8,4,2010
148000,11782,5,7,1961,1155,0,1,0,3,6,6,2010
138500,8450,5,8,1965,894,0,1,0,3,5,4,2010
122000,9819,5,5,1967,900,0,1,0,3,5,2,2010
133000,7500,5,5,1963,1040,0,1,1,3,5,6,2010
127000,6897,5,8,1962,1040,0,1,1,3,6,4,2010
169000,15410,6,6,1974,1494,0,2,0,3,7,4,2010
190000,10186,7,5,1992,1061,862,2,1,3,8,6,2010
362500,13143,8,5,1993,1251,1098,2,1,4,9,6,2010
285000,11134,8,5,1992,1402,823,2,1,4,7,6,2010
260000,4835,7,5,2004,1488,0,2,0,2,6,3,2010
190000,3515,7,5,2004,840,840,2,1,2,3,1,2010
155000,3215,7,5,2004,600,600,2,1,2,4,4,2010
151000,3182,7,5,2004,600,600,2,1,2,4,6,2010
149500,2544,7,5,2004,600,600,2,1,2,4,2,2010
152000,2544,6,5,2005,600,636,2,1,2,4,5,2010
222000,4403,7,5,2009,1478,0,2,1,2,7,6,2010
177500,2117,6,5,2000,769,804,2,1,3,5,6,2010
177000,2980,6,5,2000,756,756,2,1,2,5,5,2010
155000,2572,7,5,1999,696,720,2,1,3,6,5,2010
147110,2403,7,5,2003,530,550,2,1,2,4,6,2010
267916,12853,8,5,2010,1418,0,1,1,1,6,4,2010
254000,7379,8,5,2000,975,873,2,1,3,7,4,2010
155000,4420,8,5,1980,788,0,1,0,1,3,6,2010
206000,3880,8,6,1978,1226,0,1,0,1,4,1,2010
130500,13517,6,8,1976,725,754,2,1,3,6,3,2010
230000,8000,7,5,2002,1492,0,2,0,3,6,4,2010
218500,10456,6,6,1967,1829,0,2,0,4,8,5,2010
243500,10791,6,5,1993,1280,1215,2,1,4,9,3,2010
205000,10603,6,7,1977,1610,0,2,0,3,6,2,2010
212500,18837,6,5,1978,1287,604,3,0,3,7,4,2010
196500,10421,7,5,1988,980,734,2,1,3,7,3,2010
197500,9360,6,7,1972,1381,0,1,1,3,5,3,2010
171000,9600,6,6,1971,930,715,1,2,4,7,6,2010
142250,9600,5,5,1966,1232,0,1,1,3,6,4,2010
143000,9790,6,5,1963,1328,0,1,1,3,6,6,2010
128950,9320,4,5,1959,1225,0,1,1,3,6,1,2010
159000,9900,5,5,1966,1209,0,1,0,3,6,4,2010
178900,9680,5,6,1967,1510,0,2,0,3,6,4,2010
136300,10600,6,5,1964,1131,644,2,0,3,8,5,2010
180500,14112,5,7,1964,1152,0,1,0,3,6,4,2010
137500,8800,6,7,1963,1054,0,1,0,3,6,5,2010
84900,13260,5,6,1962,1728,0,2,0,6,10,1,2010
142125,9717,5,6,1950,1078,0,1,0,2,5,4,2010
197600,9724,5,7,1952,1929,532,2,0,3,7,3,2010
172500,17360,6,6,1949,1019,537,2,0,3,6,1,2010
116500,7207,5,7,1958,858,0,1,0,2,4,2,2010
76500,5350,3,2,1940,1306,0,1,0,3,6,5,2010
128000,9920,5,5,1954,1063,0,1,0,3,6,2,2010
153000,9600,6,6,1955,1520,0,1,0,3,7,3,2010
132000,7800,5,6,1954,1268,0,1,0,2,7,3,2010
178000,11380,6,8,1966,1128,0,1,0,2,5,1,2010
154300,11600,5,5,1960,1105,1169,2,0,5,12,1,2010
180000,19900,7,5,1970,2207,0,2,0,3,7,7,2010
190000,16492,6,6,1966,1888,0,2,1,2,6,6,2010
135000,8267,5,5,1958,1604,0,2,0,4,8,3,2010
214000,8197,7,5,2003,1480,0,2,0,3,7,2,2010
136000,8050,5,5,1959,1143,0,1,0,3,6,5,2010
165500,10552,5,5,1959,1700,0,1,1,4,6,4,2010
145000,8400,5,6,1957,1314,0,1,0,3,5,6,2010
148000,8760,6,6,1959,1194,0,1,0,3,6,4,2010
142000,12160,5,5,1959,1188,0,1,0,3,6,5,2010
167500,9300,5,5,1960,1264,0,1,0,3,6,4,2010
108538,10725,5,5,1959,1206,0,1,0,3,6,5,2010
159500,10032,6,5,1959,1580,0,1,1,3,6,6,2010
108000,8382,4,5,1956,832,505,1,0,3,5,2,2010
135000,10950,5,7,1952,1064,0,1,0,2,4,5,2010
122500,10895,5,6,1955,972,0,1,0,3,5,6,2010
119000,13587,5,5,1958,988,0,1,0,2,5,4,2010
109000,7922,5,7,1953,1057,0,1,0,3,5,1,2010
105000,7898,4,7,1920,985,0,1,0,2,4,4,2010
107500,7200,5,7,1955,827,0,1,0,2,5,4,2010
144900,10200,5,7,1954,1086,0,1,0,3,6,5,2010
129000,5868,5,7,1956,936,0,1,0,2,4,5,2010
97500,17503,6,5,1948,912,546,1,0,3,6,1,2010
144000,6979,6,5,1980,1056,0,0,0,0,4,6,2010
162000,9830,5,7,1959,1287,0,1,0,3,7,3,2010
242000,11275,7,7,1967,1898,1080,2,1,5,11,6,2010
132000,8064,6,8,1948,816,408,1,0,3,5,5,2010
154000,7500,5,7,1959,1246,0,1,1,3,6,5,2010
166000,8520,5,4,1952,910,475,2,0,4,6,6,2010
134800,7200,5,7,1951,900,0,1,0,3,5,5,2010
160000,10000,6,6,1962,1116,0,1,1,3,5,2,2010
148000,7635,5,6,1960,1175,0,1,1,3,6,6,2010
192000,9760,6,7,1963,1395,0,1,0,2,7,5,2010
155000,7700,6,5,1966,1051,788,1,1,4,7,6,2010
80400,4800,4,5,1900,1157,687,1,0,3,9,1,2010
96500,8800,4,7,1910,792,348,1,0,3,7,6,2010
109500,4485,5,7,1920,936,0,1,0,2,5,5,2010
115000,8960,5,6,1927,1028,0,1,0,2,5,3,2010
143000,5805,5,7,1957,1347,0,1,0,3,6,6,2010
107400,5790,3,6,1915,840,765,2,0,3,8,5,2010
80000,4608,4,6,1945,747,0,1,0,2,4,6,2010
119000,7200,5,7,1940,804,0,1,0,2,4,2,2010
130000,5500,5,7,1929,926,0,1,0,3,6,4,2010
119000,6900,6,7,1938,827,424,1,0,3,6,1,2010
129000,11851,5,7,1948,1027,606,1,0,3,7,6,2010
100000,8239,5,6,1920,1060,185,1,0,3,6,3,2010
12789,9656,2,2,1923,832,0,1,0,2,5,6,2010
105900,8520,6,8,1928,720,0,1,0,2,5,5,2010
150000,9600,8,9,1900,930,636,2,0,3,7,4,2010
139000,10800,5,6,1915,966,686,2,0,4,7,6,2010
240000,9000,8,9,1890,1157,1111,3,0,3,7,4,2010
76500,9045,5,3,1910,1128,1128,2,0,4,12,6,2010
149700,7407,6,7,1957,1236,0,1,0,2,6,4,2010
125500,7740,4,7,1910,741,622,1,0,3,6,6,2010
122500,11340,4,6,1885,1246,1044,2,0,4,11,4,2010
140750,10560,6,7,1922,868,602,1,1,2,6,6,2010
128500,5830,5,6,1950,1030,582,1,1,3,7,3,2010
209500,7793,7,7,1922,1160,908,1,1,3,8,5,2010
87000,5000,4,7,1925,765,0,1,0,2,4,4,2010
134000,6000,6,7,1939,608,524,1,0,2,5,4,2010
128000,6000,6,6,1940,848,348,1,1,3,6,3,2010
132000,6360,5,6,1942,955,498,1,1,3,7,3,2010
139900,6000,6,7,1948,780,636,1,1,3,6,3,2010
123900,6240,5,7,1936,548,492,1,0,2,5,5,2010
138400,6240,5,5,1930,928,608,2,0,4,7,3,2010
109500,6120,6,5,1923,1068,0,1,0,2,5,3,2010
140000,10300,7,6,1921,902,808,2,0,3,9,4,2010
149500,8094,4,5,1915,888,1074,1,1,4,9,6,2010
159900,12900,6,8,1912,780,780,1,1,3,7,5,2010
122000,3068,6,8,1920,662,662,1,0,3,6,2,2010
110000,8472,5,5,1963,816,0,1,0,2,5,5,2010
55000,5600,4,5,1930,372,720,2,0,3,7,7,2010
140000,7630,5,9,1900,1032,780,2,0,4,8,5,2010
244400,24090,7,7,1940,1207,1196,2,0,4,10,6,2010
173000,15263,5,5,1959,1675,0,2,0,3,8,5,2010
107500,10632,5,3,1917,725,499,1,1,3,6,1,2010
100000,9900,5,4,1915,1212,180,1,0,3,6,2,2010
95000,6001,6,5,1940,600,319,1,0,3,5,3,2010
93369,6449,4,1,1907,942,942,1,1,4,7,3,2010
114900,6048,5,7,1910,936,744,2,0,2,7,6,2010
94000,6342,5,8,1875,780,240,1,0,2,6,5,2010
136000,10773,4,3,1967,1832,0,2,0,4,8,5,2010
136500,10778,4,5,1968,1768,0,2,0,4,8,4,2010
131500,11625,5,4,1965,1039,0,1,1,3,6,4,2010
121500,11341,5,6,1957,1392,0,1,1,3,5,5,2010
125000,8521,5,5,1967,912,0,1,0,3,5,5,2010
154000,8246,5,8,1968,1060,0,1,0,3,6,5,2010
137900,7800,5,7,1966,892,0,1,0,3,5,6,2010
158000,9364,6,7,1969,663,689,1,1,4,7,3,2010
137250,7832,5,5,1968,864,0,1,0,2,4,5,2010
160250,7424,5,5,1978,1373,0,1,0,3,5,5,2010
163000,11227,5,5,1968,720,720,1,1,4,7,3,2010
158900,11616,6,5,1978,672,714,2,1,3,6,4,2010
328000,14000,7,5,1996,1306,954,2,1,3,7,4,2010
270000,20062,7,7,1977,1483,0,1,1,1,4,4,2010
85000,9259,4,4,1927,756,0,1,0,2,4,6,2010
128000,9600,4,7,1950,1067,0,2,0,2,4,2,2010
260000,23595,7,6,1979,1332,192,0,1,0,4,4,2010
230000,17082,6,5,1978,1117,864,2,1,4,8,5,2010
124000,18600,3,4,1938,1052,558,2,0,4,8,6,2010
83000,10625,5,5,1920,835,0,1,0,2,5,5,2010
144500,11479,6,7,1950,1074,0,1,0,3,6,6,2010
129000,9571,5,6,1956,1144,0,1,0,3,6,6,2010
127000,9350,4,6,1947,1169,0,1,0,3,8,6,2010
128000,9525,5,7,1954,1172,0,1,0,3,5,6,2010
186000,10420,6,5,2009,1212,0,2,0,3,6,3,2010
308030,17485,7,5,2009,1508,0,1,0,1,5,1,2010
114000,11200,5,3,1964,1298,0,2,0,3,5,6,2010
84900,11100,4,7,1946,930,0,1,0,2,6,4,2010
178000,9206,6,5,1985,977,755,2,1,3,7,6,2010
270000,11980,7,5,1987,1433,0,1,1,1,4,6,2010
218000,12361,6,7,1993,964,838,2,1,3,8,5,2010
236000,9938,7,5,1993,1062,887,2,1,3,8,6,2010
147000,9069,6,6,1992,996,0,1,0,2,5,4,2010
245350,10475,8,5,2008,1694,0,2,0,3,7,2,2010
206000,6762,7,5,2006,1208,0,2,0,2,6,2,2010
198900,10402,7,5,2009,1226,0,2,0,3,6,5,2010
187000,7360,7,5,2010,1222,0,2,0,2,6,3,2010
320000,12376,7,5,1990,1699,1523,3,0,5,11,5,2010
138500,14235,6,8,1900,831,614,2,0,3,6,3,2010
155000,8816,6,7,1971,1052,0,1,0,3,6,6,2010
159000,11105,5,5,1996,965,0,1,0,2,4,7,2010
191000,9337,7,5,1997,892,800,2,1,3,8,4,2010
200500,8750,6,5,1998,804,878,2,1,3,7,6,2010
150000,15240,5,8,1977,1026,0,1,1,3,5,6,2010
161750,10900,6,7,1977,689,703,1,1,3,6,3,2010
128200,10650,5,6,1976,894,0,1,0,3,5,2,2010
127000,7480,5,6,1972,876,0,1,0,3,5,6,2010
318000,10389,8,5,2003,1978,0,2,1,3,8,5,2010
272000,11423,8,5,2001,1601,0,2,0,3,6,5,2010
237000,9548,7,6,2003,941,888,2,1,3,7,1,2010
240000,9375,7,5,1997,1044,1054,2,1,4,9,4,2010
224900,12137,7,5,1998,1661,0,2,0,3,6,5,2010
143750,4435,6,5,2003,848,0,1,0,1,4,4,2010
143000,4426,6,5,2004,848,0,1,0,1,3,5,2010
232000,10635,8,5,2003,1668,0,2,0,3,8,5,2010
213000,8400,7,5,2004,1484,0,2,0,3,7,5,2010
185500,8773,7,5,2004,1414,0,2,0,3,6,5,2010
84900,8777,3,6,1945,640,0,1,0,2,5,4,2010
155891,8842,5,6,1954,992,0,1,0,3,6,1,2010
100000,9825,5,5,1965,1664,0,2,0,4,8,5,2010
144000,10044,5,6,1968,1196,0,1,0,3,6,6,2010
64000,11792,4,5,1948,792,328,1,0,2,5,6,2010
125200,6305,6,6,1975,1096,0,1,0,3,5,6,2010
107000,7819,6,5,1976,1117,0,1,0,3,6,3,2010
90000,6410,4,5,1958,960,0,1,0,3,5,5,2010
140000,8546,4,5,2003,1121,0,2,0,2,5,3,2010
113000,8741,6,4,1945,798,689,1,1,3,7,4,2010
80000,12180,4,4,1941,672,252,1,0,2,5,7,2010
144500,8562,5,6,1957,1526,0,1,0,4,7,5,2010
104000,4853,5,6,1924,1296,0,2,0,2,5,5,2010
128000,6858,6,4,1915,841,806,1,1,4,6,5,2010
58500,8212,3,3,1914,864,0,1,0,2,5,6,2010
127000,5000,5,6,1924,1026,665,2,0,3,6,5,2010
126000,7890,6,6,1939,856,0,1,0,2,4,3,2010
160000,7200,4,6,1967,862,1788,3,0,6,10,2,2010
100000,9839,5,2,1931,894,772,1,0,3,7,5,2010
169000,9638,6,7,1919,1699,748,2,0,4,10,3,2010
257500,10452,7,6,1941,1225,908,1,1,4,8,7,2010
215000,15600,5,6,1950,1102,1075,2,1,5,11,3,2010
266500,9042,7,9,1941,1188,1152,2,0,4,9,5,2010
335000,17500,7,8,1959,1902,0,2,0,3,7,5,2010
203135,19645,7,6,1994,896,756,2,1,3,6,6,2010
185000,3907,8,6,1989,1034,0,1,0,1,4,4,2010
162500,3907,8,5,1989,1191,0,2,0,2,5,3,2010
289000,15602,7,8,1959,1801,0,2,0,1,6,3,2010
125500,5436,4,8,1922,796,358,1,0,3,7,5,2010
82000,8154,2,5,1941,540,0,1,0,1,4,4,2010
110000,9140,6,5,1921,727,380,1,0,2,5,4,2010
68400,7500,4,4,1920,698,430,1,0,2,6,4,2010
102776,8712,4,7,1900,859,319,1,0,2,7,1,2010
55993,8712,5,5,1952,1044,0,1,0,2,4,6,2010
50138,8712,4,7,1896,952,0,1,0,3,5,6,2010
246000,3811,8,5,2004,1646,0,2,0,2,5,5,2010
254900,11050,8,5,1998,1036,880,2,1,3,8,5,2010
190000,9620,6,7,1977,1285,0,2,0,3,6,5,2010
201000,9196,7,5,2003,1560,0,2,0,3,7,4,2010
169900,12328,6,5,1976,1034,0,1,0,3,6,5,2010
170000,12760,6,5,1976,2048,0,3,0,5,9,3,2010
160000,57200,5,5,1948,1687,0,1,0,3,7,6,2010
220000,11896,7,5,2008,1346,0,2,0,3,6,5,2010
179781,9803,7,5,2009,1214,0,2,0,2,6,1,2010
174000,9802,5,5,2006,744,700,2,1,3,7,4,2010
269500,12003,8,5,2009,774,1194,2,1,4,8,5,2010
214900,11316,7,5,2002,824,1070,2,1,4,8,2,2010
202900,14191,8,5,2002,993,915,2,1,4,9,4,2010
378500,13214,9,5,2008,2018,0,2,0,3,10,5,2010
169000,15300,5,5,1965,1264,0,1,0,2,7,6,2010
173500,10114,5,5,2004,1430,0,2,0,3,7,3,2010
139000,9400,6,5,1971,912,912,2,2,4,8,4,2010
166500,11875,5,5,1999,1344,0,2,0,3,7,6,2010
83500,1974,4,5,1973,546,546,1,1,3,6,5,2010
119500,2394,5,6,1973,945,0,1,0,2,5,5,2010
85000,2592,5,3,1976,536,576,1,1,3,4,4,2010
76000,1476,4,7,1970,546,546,1,1,3,5,3,2010
75500,1491,4,6,1972,630,0,1,0,1,3,5,2010
88250,1900,4,4,1970,546,546,1,1,3,5,6,2010
85500,1890,4,6,1972,546,546,1,1,3,5,6,2010
130000,6953,5,7,1971,874,0,1,0,3,5,6,2010
157900,26142,5,7,1962,1188,0,1,0,3,6,4,2010
149900,12887,5,7,1984,833,0,1,0,2,5,4,2010
159000,7700,5,2,1985,1216,1216,4,2,4,10,2,2010
136000,10475,5,5,1991,624,650,1,1,3,6,3,2010
161000,10544,5,5,1969,864,615,2,0,5,8,4,2010
285000,9892,8,5,1994,1803,0,2,1,3,6,2,2010
231000,12961,6,5,1993,1152,645,2,1,3,7,3,2010
124500,13008,6,5,1956,882,0,1,0,2,5,10,2009
157000,10200,6,5,1974,1434,0,2,0,4,7,6,2009
345000,13860,8,7,1972,2000,704,2,1,4,9,7,2009
189500,10179,6,5,1997,945,663,2,1,3,7,7,2009
270000,11792,8,5,2003,1008,1275,2,1,4,9,8,2009
189000,8400,7,5,1996,958,670,2,1,3,7,6,2009
377500,14892,9,5,2006,1746,0,2,0,3,7,10,2009
168500,8530,7,5,1995,804,670,2,1,3,7,5,2009
375000,7296,8,5,2004,2522,0,2,0,1,8,11,2009
278000,5664,8,5,2000,1659,0,2,0,2,5,10,2009
240000,7380,8,5,1998,1478,0,2,0,2,5,7,2009
239500,8013,8,5,1995,1734,0,2,0,2,6,9,2009
177500,8923,7,5,1998,751,631,2,1,3,7,2,2009
185000,10141,7,5,1998,885,833,2,1,3,7,12,2009
191000,7500,6,5,1998,952,684,2,1,3,7,10,2009
178000,7837,6,7,1993,799,772,2,1,3,7,5,2009
185000,9765,6,8,1993,680,790,2,1,3,6,4,2009
181316,8803,6,5,1994,707,809,2,1,3,7,7,2009
166000,7250,6,5,1993,1190,0,2,0,3,6,11,2009
178000,9636,6,5,1992,808,785,2,1,3,7,12,2009
174000,8125,6,5,1994,702,779,2,1,3,6,3,2009
173000,9248,6,6,1992,1167,0,2,0,3,6,7,2009
225000,10762,7,5,1999,1005,978,2,1,3,9,5,2009
180500,11851,7,5,1990,1442,0,2,0,3,5,5,2009
187500,5814,8,5,1984,1360,0,1,0,1,4,8,2009
501837,17423,9,5,2008,2234,0,2,0,1,9,7,2009
372500,11844,8,5,2008,2046,0,2,1,3,7,7,2009
260000,16158,7,5,2005,1530,0,2,0,3,7,6,2009
185000,11900,5,6,1977,946,988,2,1,3,6,7,2009
260000,13005,7,7,1980,1153,1200,2,1,4,10,8,2009
181000,17043,6,5,1979,1586,0,2,0,3,7,1,2009
82500,11900,7,5,1977,1411,0,2,0,3,6,4,2009
215000,16635,6,7,1977,1602,0,2,0,3,8,6,2009
154000,13250,7,6,1978,1154,896,2,1,4,8,5,2009
200000,10928,6,6,1978,1671,0,2,0,3,7,8,2009
249000,12388,7,7,1980,1539,1134,2,1,4,9,8,2009
187500,14115,7,5,1980,1472,0,2,0,3,6,6,2009
184000,11088,6,5,1978,1707,0,2,0,3,7,5,2009
278000,9600,8,5,1981,2524,0,2,1,4,9,7,2009
157000,11880,7,5,1978,1601,0,2,0,3,7,4,2009
152000,10400,7,5,1976,1370,0,2,0,3,6,6,2009
197500,10304,5,7,1976,1088,780,2,1,4,9,10,2009
240900,7000,7,5,2003,1016,868,2,1,3,7,6,2009
263435,8004,8,5,2009,832,1103,2,1,3,8,12,2009
220000,7500,8,5,2000,1058,816,2,1,3,7,3,2009
235000,8470,8,5,2002,972,839,2,1,3,7,10,2009
213000,9373,5,7,1975,1621,0,2,0,3,7,6,2009
167900,10140,6,6,1974,1116,0,2,0,3,6,4,2009
158000,11050,7,5,1975,1193,0,2,0,3,5,8,2009
165000,10140,6,5,1974,1350,0,2,0,3,7,8,2009
158000,10448,6,6,1972,1378,741,2,1,3,7,8,2009
136000,9000,5,5,1974,896,896,2,2,4,8,9,2009
148500,8750,5,6,1970,1002,0,1,0,3,5,8,2009
156000,7930,6,8,1969,1026,0,1,0,3,5,7,2009
128000,7830,5,5,1970,1180,0,1,1,2,6,3,2009
143000,8510,5,7,1971,1050,0,1,1,3,6,7,2009
76500,7038,4,6,1970,864,0,1,0,3,5,9,2009
120500,6960,4,6,1970,864,0,1,0,3,5,11,2009
124500,8120,4,7,1970,864,0,1,0,3,5,7,2009
97000,10500,4,6,1971,864,0,1,0,2,4,3,2009
130000,9000,4,7,1971,864,0,1,0,3,5,7,2009
111000,1680,6,5,1973,483,504,1,1,2,5,7,2009
125000,2368,5,6,1970,765,600,1,1,3,7,5,2009
112000,1680,5,5,1971,630,672,2,1,3,6,5,2009
97000,1680,6,6,1972,483,504,1,1,2,5,7,2009
118000,1680,6,8,1972,483,504,1,1,2,5,5,2009
119500,1680,5,7,1972,630,672,2,1,3,6,2,2009
143750,4928,6,6,1976,958,0,2,0,2,5,10,2009
146000,2308,6,5,1976,804,744,2,1,3,7,9,2009
148500,2280,6,6,1976,855,601,2,1,3,7,7,2009
123000,2280,7,5,1975,1055,0,2,0,2,4,8,2009
147000,2308,6,5,1974,855,467,2,1,3,6,6,2009
137900,2349,6,5,1977,855,601,2,1,3,6,5,2009
147000,2364,6,5,1978,804,744,2,1,3,7,7,2009
148500,2289,6,6,1978,855,586,2,1,3,7,4,2009
138000,2364,6,5,1978,855,601,2,1,3,6,4,2009
128500,2104,7,6,1976,836,0,1,0,2,5,10,2009
100000,7150,5,5,1967,892,0,1,0,3,5,7,2009
148800,10710,5,7,1966,1120,0,1,0,3,5,7,2009
337500,12456,10,5,2006,1718,0,2,0,3,7,7,2009
462000,14257,9,5,2007,1794,978,3,1,4,10,6,2009
485000,13518,9,5,2008,1966,1174,3,1,4,11,7,2009
555000,15431,10,5,2008,2402,0,2,0,2,10,4,2009
325000,13173,9,5,2006,1652,0,2,0,2,6,11,2009
256300,14230,8,5,2007,1600,0,2,0,3,7,7,2009
253293,12704,8,5,2008,2042,0,2,1,3,8,8,2009
398800,12350,9,5,2009,1365,1325,2,1,3,8,7,2009
335000,11308,9,5,2008,1130,1054,2,1,3,10,7,2009
404000,12350,9,5,2008,2020,0,2,0,3,7,5,2009
402861,12220,10,5,2009,2020,0,2,1,3,9,9,2009
451950,13478,10,5,2008,1728,568,2,1,3,10,6,2009
610000,13693,10,5,2007,2674,0,2,1,2,8,3,2009
582933,13891,9,5,2008,1734,1088,3,1,4,12,1,2009
360000,11578,9,5,2008,1736,0,2,0,3,7,7,2009
296000,16870,8,5,2004,1782,0,2,0,3,7,4,2009
409900,23303,8,5,2007,1508,1012,2,1,5,10,6,2009
255500,11146,8,5,2006,1717,0,2,0,3,7,7,2009
335000,10367,9,5,2008,1743,0,2,0,3,8,6,2009
274900,9591,8,5,2004,1713,0,2,0,3,7,1,2009
300000,10872,9,5,2006,1531,0,2,0,2,6,2,2009
324000,13514,9,5,2008,1808,0,2,0,3,7,3,2009
350000,8834,9,5,2004,1462,762,2,1,4,10,6,2009
280000,11362,8,5,2004,1836,0,2,0,3,7,3,2009
284000,10655,8,5,2003,1629,0,2,0,3,7,10,2009
269500,12878,7,5,2003,1760,0,2,0,3,8,6,2009
233170,9541,7,5,2009,1502,0,2,0,3,7,9,2009
386250,13472,10,5,2003,2392,0,2,0,3,8,6,2009
445000,15274,9,5,2003,2452,0,2,0,3,10,7,2009
